system:index,AOT,B1,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
27,65.0,139.0,54.0,167.0,268.0,183.0,207.0,107.0,104.0,98.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,28.0,19.0,872.0,20190417T102031_20190417T102431_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
28,186.0,416.0,182.0,462.0,637.0,404.0,799.0,454.0,473.0,406.0,0.0,0.0,0.0,0.0,0.0,10.0,47.0,65.0,42.0,2567.0,20190728T101029_20190728T101332_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
29,96.0,252.0,35.0,280.0,576.0,248.0,552.0,169.0,168.0,119.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,59.0,26.0,2317.0,20190723T101031_20190723T101347_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
30,114.0,329.0,15.0,223.0,154.0,125.0,111.0,56.0,49.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,16.0,13.0,1611.0,20191220T101431_20191220T101426_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
31,84.0,833.0,1112.0,895.0,1058.0,963.0,1262.0,1427.0,1551.0,1522.0,6.0,0.0,0.0,0.0,0.0,6.0,91.0,110.0,100.0,2201.0,20191014T102031_20191014T102207_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
32,102.0,825.0,1063.0,893.0,1048.0,933.0,1246.0,1398.0,1452.0,1522.0,5.0,0.0,0.0,0.0,0.0,6.0,89.0,108.0,95.0,2234.0,20191014T102031_20191014T102207_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
33,192.0,408.0,219.0,457.0,644.0,407.0,801.0,479.0,492.0,401.0,0.0,0.0,0.0,0.0,0.0,10.0,47.0,66.0,42.0,2561.0,20190728T101029_20190728T101332_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
34,90.0,260.0,34.0,289.0,574.0,243.0,559.0,179.0,172.0,127.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,59.0,25.0,2321.0,20190723T101031_20190723T101347_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
35,150.0,304.0,47.0,266.0,400.0,259.0,422.0,193.0,176.0,150.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,41.0,27.0,1432.0,20190822T101031_20190822T101027_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
36,154.0,309.0,38.0,256.0,400.0,251.0,420.0,196.0,180.0,150.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,41.0,26.0,1434.0,20190822T101031_20190822T101027_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
