system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
200,126.0,6989.0,1561.0,1849.0,6740.0,6732.0,6748.0,6959.0,6964.0,6983.0,7272.0,6988.0,0.0,100.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,605.0,20190706T102031_20190706T102357_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
201,148.0,731.0,711.0,652.0,684.0,852.0,788.0,927.0,817.0,843.0,922.0,844.0,6.0,0.0,0.0,0.0,2048.0,10.0,70.0,87.0,81.0,644.0,20190206T102211_20190206T102327_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
202,202.0,10739.0,4737.0,4122.0,8368.0,7072.0,6888.0,7239.0,7027.0,6958.0,6464.0,6774.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,338.0,20190124T101311_20190124T101314_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
203,120.0,6064.0,4590.0,4911.0,5228.0,5440.0,3418.0,5064.0,5582.0,5735.0,6388.0,5973.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1092.0,20190608T101029_20190608T101032_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
204,204.0,9163.0,5082.0,3921.0,8799.0,7999.0,7549.0,7588.0,6993.0,6480.0,7133.0,5900.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1152.0,20191123T102341_20191123T102417_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
205,120.0,6085.0,4509.0,4839.0,5160.0,5540.0,3470.0,4782.0,5515.0,5624.0,6188.0,5889.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1102.0,20190608T101029_20190608T101032_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
206,149.0,737.0,712.0,647.0,685.0,834.0,797.0,926.0,814.0,831.0,908.0,818.0,0.0,0.0,0.0,0.0,2048.0,10.0,70.0,85.0,81.0,629.0,20190206T102211_20190206T102327_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
207,168.0,476.0,506.0,458.0,497.0,580.0,583.0,708.0,648.0,672.0,772.0,652.0,0.0,0.0,0.0,0.0,2048.0,10.0,51.0,59.0,60.0,563.0,20191031T101141_20191031T101411_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
208,202.0,5524.0,2877.0,2395.0,4936.0,4616.0,4584.0,4621.0,4443.0,4594.0,4688.0,4648.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,692.0,20190112T102409_20190112T102555_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
209,204.0,5034.0,2755.0,2500.0,4952.0,4804.0,4896.0,5155.0,5247.0,5344.0,5568.0,5335.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,637.0,20190509T101039_20190509T101033_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
210,168.0,479.0,507.0,456.0,497.0,611.0,588.0,698.0,663.0,672.0,768.0,649.0,0.0,0.0,0.0,0.0,2048.0,10.0,51.0,63.0,60.0,561.0,20191031T101141_20191031T101411_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
211,202.0,5497.0,2882.0,2390.0,5028.0,4684.0,4528.0,4622.0,4429.0,4533.0,4716.0,4614.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,684.0,20190112T102409_20190112T102555_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
212,204.0,11600.0,5765.0,4277.0,10808.0,9880.0,9416.0,9837.0,9266.0,9119.0,9344.0,8835.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1404.0,20190708T101039_20190708T101033_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
213,204.0,4876.0,2756.0,2489.0,4880.0,4740.0,4832.0,5096.0,5204.0,5291.0,5584.0,5284.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,612.0,20190509T101039_20190509T101033_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
214,204.0,9292.0,5122.0,3444.0,9088.0,8656.0,8352.0,8574.0,8492.0,8531.0,9184.0,8538.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,981.0,20190527T102031_20190527T102026_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
215,204.0,7270.0,4753.0,4373.0,7052.0,6336.0,6268.0,6834.0,6651.0,6658.0,6864.0,6563.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,699.0,20191225T101329_20191225T101330_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
216,204.0,7397.0,4732.0,4366.0,7192.0,6388.0,6332.0,6855.0,6656.0,6681.0,6952.0,6566.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,727.0,20191225T101329_20191225T101330_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
217,204.0,11589.0,5774.0,4292.0,10768.0,9792.0,9360.0,9855.0,9263.0,9103.0,9320.0,8850.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1422.0,20190708T101039_20190708T101033_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
218,144.0,3665.0,4102.0,3964.0,3062.0,3284.0,3312.0,3862.0,4298.0,4524.0,4256.0,4724.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1062.0,20190703T101031_20190703T101051_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
219,204.0,9686.0,5230.0,3617.0,9208.0,8808.0,8456.0,8791.0,8723.0,8777.0,9200.0,8770.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1055.0,20190527T102031_20190527T102026_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
