system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
129,161.0,9752.0,6327.0,5454.0,8696.0,8112.0,8032.0,8578.0,8105.0,7851.0,8016.0,7593.0,15782.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1965.0,20180618T101021_20180618T101024_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
130,202.0,400.0,343.0,270.0,408.0,436.0,357.0,416.0,386.0,429.0,402.0,378.0,529.0,0.0,0.0,2048.0,10.0,41.0,44.0,36.0,596.0,20180325T101019_20180325T101511_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
131,160.0,10139.0,6406.0,5594.0,8704.0,8056.0,8004.0,8600.0,8241.0,7986.0,8004.0,7772.0,15892.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1968.0,20180618T101021_20180618T101024_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
132,340.0,11655.0,1412.0,1755.0,10792.0,10136.0,9400.0,10301.0,9482.0,8954.0,9232.0,8622.0,16359.0,0.0,0.0,1024.0,8.0,255.0,255.0,255.0,2353.0,20180601T102021_20180601T102024_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
133,190.0,5781.0,4984.0,4169.0,6027.0,5610.0,5347.0,5653.0,5886.0,5938.0,6572.0,5977.0,7199.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1293.0,20180519T101031_20180519T101207_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
134,208.0,5625.0,4947.0,4092.0,6125.0,5661.0,5317.0,5574.0,5776.0,5794.0,6563.0,5760.0,6946.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1304.0,20180519T101031_20180519T101207_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
135,77.0,3382.0,3317.0,2956.0,2884.0,2930.0,2872.0,3323.0,3603.0,3720.0,3808.0,3855.0,7655.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,885.0,20181118T102311_20181118T102312_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
136,190.0,1785.0,1317.0,1152.0,1880.0,1874.0,1572.0,1903.0,2046.0,2171.0,2208.0,2091.0,4774.0,0.0,0.0,2048.0,8.0,192.0,191.0,160.0,1836.0,20180721T102021_20180721T102024_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
137,77.0,1.0,42.0,54.0,1.0,10.0,1.0,1.0,1.0,53.0,1.0,7.0,5.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1184.0,20181203T102359_20181203T102604_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
138,279.0,319.0,530.0,467.0,484.0,540.0,522.0,618.0,669.0,725.0,723.0,765.0,1414.0,0.0,0.0,2048.0,10.0,49.0,55.0,53.0,1649.0,20180517T102019_20180517T102209_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
139,280.0,297.0,524.0,452.0,480.0,546.0,519.0,611.0,663.0,724.0,720.0,745.0,1403.0,0.0,0.0,2048.0,10.0,48.0,55.0,52.0,1659.0,20180517T102019_20180517T102209_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
140,77.0,1.0,22.0,48.0,1.0,12.0,1.0,1.0,5.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1165.0,20181203T102359_20181203T102604_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
141,89.0,6514.0,5649.0,5075.0,6452.0,6120.0,6080.0,6581.0,6574.0,6537.0,6576.0,6442.0,12032.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1431.0,20180914T102019_20180914T102014_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
142,202.0,435.0,162.0,157.0,374.0,527.0,327.0,477.0,240.0,249.0,229.0,181.0,141.0,0.0,0.0,0.0,6.0,38.0,54.0,34.0,2365.0,20180708T101031_20180708T101025_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
143,196.0,434.0,158.0,152.0,420.0,538.0,332.0,484.0,246.0,264.0,237.0,196.0,135.0,0.0,0.0,0.0,6.0,43.0,55.0,34.0,2368.0,20180708T101031_20180708T101025_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
144,101.0,6647.0,5597.0,4942.0,6644.0,6208.0,6092.0,6583.0,6520.0,6511.0,6700.0,6377.0,12221.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,1424.0,20180914T102019_20180914T102014_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
145,167.0,135.0,1144.0,971.0,763.0,662.0,685.0,801.0,952.0,946.0,1371.0,1043.0,979.0,0.0,0.0,0.0,7.0,77.0,67.0,69.0,626.0,20180104T101409_20180104T101403_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
146,202.0,1810.0,1284.0,1175.0,1868.0,1910.0,1572.0,1870.0,1997.0,2119.0,2202.0,2084.0,4928.0,0.0,0.0,2048.0,8.0,190.0,195.0,160.0,1875.0,20180721T102021_20180721T102024_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
147,89.0,6971.0,5128.0,4514.0,6100.0,5908.0,5800.0,6163.0,6008.0,5949.0,6056.0,5853.0,11935.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,948.0,20181103T102159_20181103T102338_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
148,101.0,7031.0,5175.0,4628.0,6064.0,5904.0,5888.0,6158.0,6135.0,6013.0,5960.0,6021.0,11833.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,940.0,20181103T102159_20181103T102338_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
149,202.0,618.0,137.0,70.0,689.0,739.0,552.0,744.0,492.0,491.0,435.0,372.0,412.0,0.0,0.0,0.0,6.0,71.0,76.0,57.0,1164.0,20180825T102019_20180825T102015_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
150,125.0,506.0,61.0,42.0,416.0,393.0,252.0,281.0,77.0,87.0,62.0,40.0,22.0,0.0,0.0,0.0,6.0,43.0,40.0,26.0,1416.0,20180623T101029_20180623T101139_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
151,202.0,8976.0,6862.0,5616.0,10416.0,9584.0,8792.0,9181.0,8917.0,8676.0,9872.0,8408.0,15744.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2245.0,20180815T102019_20180815T102017_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
152,125.0,460.0,60.0,43.0,404.0,376.0,234.0,270.0,65.0,76.0,45.0,38.0,1.0,0.0,0.0,1024.0,6.0,42.0,39.0,24.0,1381.0,20180623T101029_20180623T101139_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
153,191.0,606.0,138.0,86.0,697.0,742.0,563.0,746.0,510.0,505.0,451.0,396.0,391.0,0.0,0.0,0.0,6.0,71.0,76.0,58.0,1124.0,20180825T102019_20180825T102015_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
154,125.0,8913.0,6649.0,5641.0,9320.0,8600.0,7840.0,8213.0,8171.0,8202.0,9280.0,8086.0,15798.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2243.0,20180815T102019_20180815T102017_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
155,202.0,2256.0,2125.0,1419.0,2312.0,2425.0,2641.0,2849.0,2981.0,3096.0,3152.0,3141.0,2640.0,0.0,0.0,1024.0,9.0,235.0,247.0,255.0,480.0,20180211T102141_20180211T102559_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
156,262.0,114.0,208.0,182.0,232.0,531.0,322.0,540.0,220.0,227.0,196.0,155.0,254.0,0.0,0.0,0.0,2.0,24.0,54.0,33.0,2006.0,20180718T101031_20180718T101539_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
157,202.0,2178.0,2122.0,1416.0,2162.0,2347.0,2654.0,2818.0,2992.0,3089.0,3137.0,3139.0,2718.0,0.0,0.0,1024.0,9.0,220.0,239.0,255.0,492.0,20180211T102141_20180211T102559_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
158,167.0,526.0,93.0,77.0,463.0,589.0,381.0,622.0,300.0,295.0,240.0,170.0,169.0,0.0,0.0,0.0,6.0,48.0,60.0,39.0,1318.0,20180810T102021_20180810T102023_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
159,202.0,12693.0,6014.0,4573.0,11888.0,10848.0,10336.0,10750.0,10130.0,9799.0,9960.0,9419.0,15998.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2057.0,20180626T102019_20180626T102022_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
160,255.0,124.0,209.0,189.0,234.0,531.0,328.0,544.0,237.0,237.0,212.0,163.0,250.0,0.0,0.0,0.0,2.0,24.0,54.0,34.0,2021.0,20180718T101031_20180718T101539_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
161,113.0,516.0,108.0,85.0,517.0,619.0,412.0,665.0,380.0,364.0,317.0,242.0,128.0,0.0,0.0,0.0,6.0,53.0,63.0,42.0,1322.0,20180810T102021_20180810T102023_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
162,113.0,331.0,353.0,271.0,342.0,449.0,383.0,459.0,424.0,444.0,459.0,459.0,539.0,0.0,0.0,0.0,3.0,34.0,45.0,39.0,630.0,20180330T101021_20180330T101439_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
163,202.0,12925.0,5999.0,4549.0,11960.0,10848.0,10344.0,10759.0,10115.0,9773.0,9912.0,9433.0,16026.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2094.0,20180626T102019_20180626T102022_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
164,125.0,7575.0,6109.0,4632.0,8084.0,7744.0,8120.0,8472.0,8245.0,8058.0,8304.0,7983.0,8150.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,737.0,20181230T101429_20181230T101429_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
